"Whisky","Meta Critic","STDEV","#","Cost","Class","Super Cluster","Cluster","Country","Type"
"Amrut Naarangi","8.48","0.59","11","$$$$$","SingleMalt-like","ABC","C","India","Malt"
"Ledaig 1996","8.48","0.78","3","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Mackmyra Special 05","8.48","0.38","7","$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Glencadam 15yo","8.48","0.40","14","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Kavalan King Car Conductor","8.48","0.33","10","$$$$","SingleMalt-like","GH","G","Taiwan","Malt"
"Tomatin Cu Bocan Virgin Oak Edition","8.48","0.5","3","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Edradour Ballechin 10yo","8.48","0.49","6","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park 12yo Viking Honour (post-2017)","8.48","0.32","8","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Spirit of Hven Seven Stars No. 3 Phecda","8.48","0.37","3","$$$$$","SingleMalt-like","I","I","Sweden","Malt"
"Benromach Peat Smoke","8.48","0.26","16","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Cutty Sark Prohibition","8.48","0.45","16","$$","Scotch-like","","","Scotland","Blend"
"Forty Creek Confederation Oak (Batch E, F)","8.48","0.23","5","$$$","Rye-like","","","Canada","Blend"
"Forty Creek Heritage 2017","8.48","0.53","6","$$$","Rye-like","","","Canada","Blend"
"Knob Creek Small Batch Straight Rye Whiskey","8.48","0.41","18","$$$","Rye-like","","R4","USA","Rye"
"Pike Creek 21yo Double Barrel European Oak Cask (2018)","8.48","0.33","8","$$$$","Rye-like","","","Canada","Blend"
"Barrell Whiskey Batch 005","8.48","0.65","3","$$$$","Bourbon-like","","","USA","Blend"
"Glen Moray Classic Sherry Cask finish","8.47","0.21","5","$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Jura 16yo Diurach's Own","8.47","0.36","15","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Smogen Primör","8.47","0.26","4","$$$$$","SingleMalt-like","ABC","C","Sweden","Malt"
"Paul John Brilliance","8.47","0.33","11","$$$","SingleMalt-like","EF","E","India","Malt"
"Singleton of Glendullan 15yo","8.47","0.35","5","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Balblair 2000","8.47","0.36","13","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Bruichladdich Classic Laddie Scottish Barley","8.47","0.33","15","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glendalough 13yo Single Malt","8.47","0.31","9","$$$$","SingleMalt-like","GH","G","Ireland","Malt"
"Mackmyra Special 07","8.47","0.54","7","$$$$","SingleMalt-like","GH","H","Sweden","Malt"
"Sheep Dip Blended Malt","8.47","0.39","14","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Famous Grouse Gold Reserve 12yo","8.47","0.29","11","$$","Scotch-like","","","Scotland","Blend"
"Ichiro's Malt & Grain World Blended","8.47","0.35","8","$$$$","Scotch-like","","","Japan","Blend"
"Jameson Gold Reserve","8.47","0.37","10","$$$$","Scotch-like","","","Ireland","Blend"
"Nikka Coffey Grain","8.47","0.51","18","$$$$","Scotch-like","","","Japan","Grain"
"Danfield's 21yo","8.47","0.69","13","$$","Rye-like","","","Canada","Blend"
"Four Roses Small Batch Bourbon","8.47","0.41","16","$$","Bourbon-like","","R3","USA","Bourbon"
"Jim Beam Distillers Masterpiece PX Sherry Cask Finish","8.47","0.36","6","$$$$$","Bourbon-like","","R2","USA","Bourbon"
"Orphan Barrel Entrapment Canadian25yo","8.47","0.48","7","$$$$$","Bourbon-like","","R0","Canada","Blend"
"Aberfeldy 16yo","8.46","0.23","4","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Ben Nevis 10yo (all editions)","8.46","0.52","15","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bushmills 16yo Single Malt","8.46","0.48","19","$$$$","SingleMalt-like","ABC","B","Ireland","Malt"
"Glengoyne Cask Strength (batch 3)","8.46","0.73","6","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Mackmyra Moment Källa","8.46","0.30","3","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Singleton of Glen Ord 15yo","8.46","0.41","5","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"AnCnoc Peter Arkle (all releases)","8.46","0.29","9","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Game of Thrones House Stark Dalwhinnie Winter’s Frost","8.46","0.38","11","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Yamazaki NAS","8.46","0.22","6","$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Box (High Coast) Dalvve","8.46","0.28","10","$$$$","SingleMalt-like","I","I","Sweden","Malt"
"Ledaig 10yo","8.46","0.40","24","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Two Brewers Release 03 Peated","8.46","0.52","6","$$$$","SingleMalt-like","I","I","Canada","Malt"
"Compass Box Peat Monster 2010","8.46","0.84","3","$$$","SingleMalt-like","J","J","Scotland","Malt"
"J.P. Wiser's Alumni Series Lanny MacDonald 9yo","8.46","0.22","5","$$","Rye-like","","","Canada","Blend"
"Jim Beam Bonded","8.46","0.41","11","$$","Bourbon-like","","R2","USA","Bourbon"
"Smooth Ambler Old Scout 7yo Bourbon","8.46","0.35","13","$$$","Bourbon-like","","R3","USA","Bourbon"
"Willett Family Estate 9yo Bourbon","8.46","0.38","4","$$$$","Bourbon-like","","R2","USA","Bourbon"
"Glenglassaugh 26yo","8.45","0.55","8","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Mackmyra Moment Solsken","8.45","0.52","3","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Glen Scotia 21yo","8.45","0.23","5","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glencadam 10yo","8.45","0.45","13","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Macallan 12yo Fine Oak","8.45","0.37","17","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glenfiddich Fire & Cane Experimental Series No. 4","8.45","0.46","12","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Compass Box Delilah's","8.45","0.30","8","$$$$","Scotch-like","","","Scotland","Blend"
"Grant's 12yo","8.45","0.43","5","$$","Scotch-like","","","Scotland","Blend"
"Writers Tears Pot Still Irish Whiskey","8.45","0.3","20","$$","Scotch-like","","","Ireland","Blend"
"Glenmorangie Milsean","8.44","0.38","12","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Highland Park Dark Origins","8.44","0.48","22","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Mortlach Rare Old","8.44","0.38","16","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Nikka All Malt","8.44","0.18","8","$$","SingleMalt-like","EF","E","Japan","Malt"
"Old Pulteney 18yo","8.44","0.49","5","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glen Grant 10yo (G&M)","8.44","0.31","4","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Knappogue Castle 12yo","8.44","0.39","14","$$$","SingleMalt-like","GH","G","Ireland","Malt"
"Jameson Blender's Dog Irish Whiskey","8.44","0.37","6","$$$$","Scotch-like","","","Ireland","Blend"
"Té Bheag","8.44","0.31","15","$$","Scotch-like","","","Scotland","Blend"
"George Dickel Rye","8.44","0.36","15","$$","Rye-like","","R4","USA","Rye"
"Jim Beam Pre-Prohibition Rye","8.44","0.39","6","$","Rye-like","","R4","USA","Rye"
"Pike Creek 10yo Rum-finished","8.44","0.28","10","$$","Rye-like","","","Canada","Blend"
"Angel's Envy Bourbon (Port-finished)","8.44","0.44","15","$$$","Bourbon-like","","R2","USA","Bourbon"
"Bernheim Original Straight Wheat 7yo Small Batch","8.44","0.52","19","$$","Bourbon-like","","R0","USA","Wheat"
"Michter's Small Batch US*1 Bourbon","8.44","0.35","15","$$$","Bourbon-like","","R1","USA","Bourbon"
"Wild Turkey Forgiven","8.44","0.42","10","$$$","Bourbon-like","","R2","USA","Bourbon"
"BenRiach 15yo Tawny Port Finish","8.43","0.29","13","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Blair Athol 12yo (F&F)","8.43","0.43","9","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glentauchers 1991 18yo (Gordon & MacPhail)","8.43","0.22","3","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Penderyn Portwood","8.43","0.30","6","$$$","SingleMalt-like","ABC","C","Wales","Malt"
"Bunnahabhain Stiuireadair","8.43","0.37","8","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"GlenDronach 8yo The Hielan","8.43","0.31","15","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenfiddich IPA Cask Finish Experimental Series No. 1","8.43","0.27","15","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan 15yo Fine Oak","8.43","0.51","12","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Benromach Traditional","8.43","0.43","13","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glenmorangie 10yo","8.43","0.40","25","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Finlaggan Old Reserve","8.43","0.49","16","$$","SingleMalt-like","J","J","Scotland","Malt"
"Johnnie Walker Platinum Label","8.43","0.41","18","$$$$","Scotch-like","","","Scotland","Blend"
"Prichard’s Rye","8.43","0.3","3","$$$$","Rye-like","","R4","USA","Rye"
"Smooth Ambler Contradiction Bourbon","8.43","0.49","4","$$$$","Bourbon-like","","R2","USA","Bourbon"
"Wild Turkey 101 Bourbon","8.43","0.35","22","$$","Bourbon-like","","R2","USA","Bourbon"
"Dalmore Cigar Malt","8.42","0.38","8","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Green Spot Chateau Montelena","8.42","0.33","6","$$$$","SingleMalt-like","ABC","C","Ireland","Blend"
"Highland Park 12yo Saint Magnus","8.42","0.35","6","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Lismore 21yo","8.42","0.16","4","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan 10yo Sherry Oak","8.42","0.31","11","$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Ohishi Sherry Cask","8.42","0.45","6","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Tyrconnell 10yo Sherry Cask Finish","8.42","0.4","8","$$$$","SingleMalt-like","ABC","B","Ireland","Malt"
"Benromach Organic","8.42","0.53","17","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan 12yo Double Cask","8.42","0.38","11","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Tullibardine 25yo","8.42","0.38","7","$$$$$+","SingleMalt-like","EF","E","Ireland","Malt"
"FEW Single Malt","8.42","0.53","6","$$$$","SingleMalt-like","GH","G","USA","Malt"
"Glen Scotia 18yo","8.42","0.58","5","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Stronachie 10yo","8.42","0.41","4","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Talisker Skye","8.42","0.29","12","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Dun Bheagan Islay 1999","8.42","0.24","3","$$","SingleMalt-like","I","I","Scotland","Malt"
"Kirin 50% Blend (Fuji Gotemba)","8.42","0.42","3","$$$$","Scotch-like","","","Japan","Blend"
"Three Ships 10yo","8.42","0.39","10","$$$$","Scotch-like","","","South Africa","Blend"
"Forty Creek Founder's Reserve","8.42","0.33","6","$$$","Rye-like","","","Canada","Blend"
"High West Son of Bourye","8.42","0.41","12","$$$","Rye-like","","R4","USA","Blend"
"Legent Bourbon","8.42","0.33","4","$$$","Bourbon-like","","R1","USA","Bourbon"
"Balvenie 12yo Doublewood","8.41","0.33","24","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenmorangie Lasanta","8.41","0.35","23","$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Dalmore 12yo","8.41","0.29","21","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glen Elgin 12yo","8.41","0.21","16","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenrothes Vintage Reserve (NAS)","8.41","0.29","7","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Knappogue Castle 14yo Twin Wood","8.41","0.29","6","$$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Mackmyra Moment Malström (Maelstrom)","8.41","0.76","3","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Mackmyra Special 08","8.41","0.25","4","$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Old Pulteney 12yo","8.41","0.25","26","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Teerenpeli 8yo","8.41","0.39","7","$$$$$","SingleMalt-like","EF","E","Finland","Malt"
"Tomatin 15yo","8.41","0.37","8","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Bruichladdich Laddie Classic (Edition 01)","8.41","0.53","7","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Bruichladdich Laddie Eight 8yo","8.41","0.47","7","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Penderyn Myth","8.41","0.32","6","$$$","SingleMalt-like","GH","G","Wales","Malt"
"Highland Park 12yo (reviews 2014-2017)","8.41","0.43","15","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Crown Royal Reserve","8.41","0.63","15","$$$","Rye-like","","","Canada","Blend"
"Forty Creek Barrel Select","8.41","0.45","17","$","Rye-like","","","Canada","Blend"
"Stagg Jr batch 1 (134.4 proof)","8.41","0.39","15","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Wild Turkey Longbranch","8.41","0.22","9","$$$","Bourbon-like","","R2","USA","Bourbon"
"Bushmills 12yo Single Malt","8.40","0.16","3","$$$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Nikka Taketsuru 12yo","8.40","0.37","19","$$$$","SingleMalt-like","EF","E","Japan","Malt"
"BenRiach 12yo","8.40","0.27","17","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Hakushu Distiller's Reserve","8.40","0.16","5","$$$$","SingleMalt-like","GH","H","Japan","Malt"
"Kavalan Single Malt Whisky","8.40","0.48","19","$$$$","SingleMalt-like","GH","G","Taiwan","Malt"
"Mackmyra The Swedish Whisky (Brukswhisky)","8.40","0.56","11","$$","SingleMalt-like","GH","H","Sweden","Malt"
"Blandnoch Pure Scot","8.40","0.43","6","$$$","Scotch-like","","","Scotland","Blend"
"Michter's Toasted Barrel","8.40","0.13","6","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Wemyss Malts The Spice King","8.39","0.3","13","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Westland Sherry Wood","8.39","0.44","16","$$$$","SingleMalt-like","ABC","B","USA","Malt"
"Bunnahabhain Darach Ur","8.39","0.31","10","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Mackmyra Special 10","8.39","0.50","3","$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Okanagan Spirits Laird of Fintry (all editions)","8.39","0.71","8","$$$","SingleMalt-like","EF","E","Canada","Malt"
"Craigellachie 13yo","8.39","0.56","16","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glenkinchie Distiller's Edition (all editions)","8.39","0.26","13","$$$$","SingleMalt-like","GH","B","Scotland","Malt"
"Hibiki Harmony","8.39","0.49","19","$$$$","SingleMalt-like","GH","G","Japan","Blend"
"Bowmore 12yo","8.39","0.28","21","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore 17yo","8.39","0.64","8","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Oban Little Bay","8.39","0.34","16","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Ileach Peated Islay","8.39","0.36","8","$$","SingleMalt-like","J","J","Scotland","Malt"
"Jameson Select Reserve (Black Barrel)","8.39","0.38","18","$$","Scotch-like","","","Ireland","Blend"
"Johnnie Walker 10yo Rye Cask Finish","8.39","0.43","6","$$$","Scotch-like","","","Scotland","Blend"
"Johnnie Walker Double Black","8.39","0.38","16","$$","Scotch-like","","","Scotland","Blend"
"Barrell Rye (all Batches)","8.39","0.65","4","$$$$","Rye-like","","R4","USA","Rye"
"Bearface Triple Oak 7yo","8.39","0.19","7","$$","Rye-like","","","Canada","Rye"
"J.P. Wiser's 15yo","8.39","0.20","7","$$$","Rye-like","","","Canada","Blend"
"Heaven Hill 6yo BiB","8.39","0.23","9","$","Bourbon-like","","R1","USA","Bourbon"
"Old Grand-Dad Bourbon 100 BiB","8.39","0.49","11","$$","Bourbon-like","","R3","USA","Bourbon"
"Game of Thrones House Baratheon Royal Lochnagar 12 ans","8.38","0.26","9","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bunnahabhain Eirigh Na Greine","8.38","0.40","10","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glenlivet 15yo French Oak","8.38","0.25","19","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glen Garioch Founder's Reserve","8.38","0.35","19","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tomintoul 25yo","8.38","0.67","6","$$$$$+","SingleMalt-like","GH","G","Scotland","Malt"
"Wemyss Malts The Hive","8.38","0.21","14","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Benromach Sassicaia","8.38","0.15","7","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Fettercairn Fior","8.38","0.31","7","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Glen Moray Classic Peated","8.38","0.27","6","$$","SingleMalt-like","I","I","Scotland","Malt"
"Glenglassaugh Octaves Peated","8.38","0.52","3","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Compass Box Delilah's XXV","8.38","0.69","6","$$$$$","Scotch-like","","","Scotland","Blend"
"Stalk & Barrel Rye (Cask Strength)","8.38","0.41","9","$$$","Rye-like","","","Canada","Blend"
"FEW Bourbon","8.38","0.58","12","$$$","Bourbon-like","","R3","USA","Bourbon"
"W.L. Weller Special Reserve","8.38","0.41","14","$","Bourbon-like","","R0","USA","Bourbon"
"Aberlour 12yo Double Cask Matured","8.37","0.21","18","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glenlivet Nadurra Oloroso","8.37","0.67","13","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Jura 21yo","8.37","0.72","7","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Teeling Single Malt","8.37","0.31","10","$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Auchentoshan 18yo","8.37","0.37","16","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Craigellachie 14yo","8.37","0.27","6","$$$$$+","SingleMalt-like","EF","F","Scotland","Malt"
"Strathmill 12yo","8.37","0.27","3","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Bowmore No.1","8.37","0.31","6","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Wemyss Malts Peat Chimney","8.37","0.4","15","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Jameson 12yo Special Reserve","8.37","0.25","11","$$$$","Scotch-like","","","Ireland","Blend"
"Johnnie Walker Explorer’s Club The Royal Route","8.37","0.30","9","$$$$$","Scotch-like","","","Scotland","Blend"
"Larceny Small Batch Bourbon","8.37","0.30","14","$$","Bourbon-like","","R0","USA","Bourbon"
"Old Fitzgerald Kentucky Straight Bourbon","8.37","0.51","6","$$","Bourbon-like","","R0","USA","Bourbon"
"Old Forester Signature (100 Proof)","8.37","0.39","12","$$","Bourbon-like","","R2","USA","Bourbon"
"Stagg Jr (batches 1-2)","8.37","0.38","15","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Very Old Barton 6yo BiB","8.37","0.38","5","$$","Bourbon-like","","R2","USA","Bourbon"
"Glen Scotia 12yo","8.36","0.37","10","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Jameson Signature Reserve","8.36","0.32","5","$$","Scotch-like","","","Ireland","Blend"
"Johnnie Walker Explorer’s Club The Spice Road","8.36","0.50","10","$$","Scotch-like","","","Scotland","Blend"
"Barrell Rye Batch 002","8.36","0.79","3","$$$$","Rye-like","","R4","USA","Rye"
"Bulleit Bourbon","8.36","0.34","24","$$","Bourbon-like","","R3","USA","Bourbon"
"Elijah Craig Small Batch (NAS)","8.36","0.35","9","$$","Bourbon-like","","R1","USA","Bourbon"
"Jefferson's Ocean","8.36","0.40","7","$$","Bourbon-like","","R3","USA","Bourbon"
"Woodford Reserve Distiller's Select","8.36","0.33","22","$$","Bourbon-like","","R2","USA","Bourbon"
"Bruichladdich Rocks","8.35","0.30","11","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bushmills Black Bush","8.35","0.39","22","$$","SingleMalt-like","ABC","C","Ireland","Blend"
"GlenDronach 14yo Sauternes Cask Finish","8.35","0.41","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Deveron 18yo","8.35","0.60","7","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Hazelburn 8yo (Springbank)","8.35","0.39","11","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Buchanan's Master Blended","8.35","0.35","6","$$$","Scotch-like","","","Scotland","Blend"
"The Irishman Founder’s Reserve","8.35","0.34","9","$$","Scotch-like","","","Ireland","Blend"
"Potter's Special Old","8.35","0.5","4","$","Rye-like","","","Canada","Blend"
"Evan Williams Bottled in Bond (White label)","8.35","0.46","13","$","Bourbon-like","","R1","USA","Bourbon"
"Parker’s Heritage 10th 24yo Kentucky Straight Bourbon","8.35","0.91","7","$$$$$+","Bourbon-like","","R1","USA","Bourbon"
"Arran Malt Sherry Cask Finish","8.34","0.54","11","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glen Moray Classic Port Cask finish","8.34","0.22","4","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Singleton of Glen Ord 18yo","8.34","0.32","3","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"BenRiach 12yo Horizons","8.34","0.34","7","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Old Pulteney Navigator","8.34","0.36","13","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Singleton of Dufftown 18yo","8.34","0.13","6","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Ichiro's Malt Mizunara Wood Reserve (MWR)","8.34","0.52","13","$$$$$","SingleMalt-like","GH","H","Japan","Malt"
"Nikka Taketsuru NAS","8.34","0.41","7","$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Tomatin Cask Strength","8.34","0.49","10","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Bowmore Gold Reef","8.34","0.32","11","$$","SingleMalt-like","I","I","Scotland","Malt"
"Compass Box Affinity","8.34","0.15","3","$$$$$","Scotch-like","","","Scotland","Blend"
"High West American Prairie","8.34","0.65","9","$$$","Bourbon-like","","R3","USA","Bourbon"
"Bladnoch 15yo Adela","8.33","0.31","7","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Gouden Carolus Single Malt","8.33","0.31","5","$$$$","SingleMalt-like","EF","E","Belgium","Malt"
"Glenglassaugh Octaves Classic","8.33","0.29","5","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Bunnahabhain Cruach Mhona","8.33","0.39","8","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Suntory Old Whisky","8.33","0.24","8","$$$","Scotch-like","","","Japan","Blend"
"Canadian Club Reserve 10yo","8.33","0.61","9","$$","Rye-like","","","Canada","Blend"
"Pike Creek 10yo Port-finished","8.33","0.35","13","$$","Rye-like","","","Canada","Blend"
"Very Old Barton 6yo","8.33","0.42","9","$","Bourbon-like","","R2","USA","Bourbon"
"Yellowstone 2015 Limited Edition","8.33","0.65","4","$$$$$","Bourbon-like","","R3","USA","Bourbon"
"Arran Malt Pomerol Bordeaux Cask Finish","8.32","0.66","8","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bushmills Sherry Cask Reserve","8.32","0.42","5","$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Glenfarclas 10yo","8.32","0.33","17","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Timorous Beastie","8.32","0.4","9","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Tomatin Cu Bocan Sherry Edition","8.32","0.3","4","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Cragganmore 12yo","8.32","0.29","19","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenrothes Vintage 1998 (2014)","8.32","0.59","12","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Singleton of Dufftown 15yo","8.32","0.2","7","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Tullibardine 225 Sauternes Finish","8.32","0.4","6","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glen Grant 12yo","8.32","0.49","11","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Hakushu NAS","8.32","0.32","5","$$$","SingleMalt-like","GH","H","Japan","Malt"
"Mackmyra Svensk Ek","8.32","0.24","4","$$$$","SingleMalt-like","GH","H","Sweden","Malt"
"Woodford Reserve Straight Rye","8.32","0.35","11","$$","Rye-like","","R4","USA","Rye"
"Glencadam 12yo Port Wood Finish","8.31","0.33","6","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Writers Tears Red Head Single Malt","8.31","0.35","8","$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Monkey Shoulder","8.31","0.38","20","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Mackmyra Special 02","8.31","0.73","3","$$$$$","SingleMalt-like","GH","H","Sweden","Malt"
"Laphroaig Quarter Cask","8.31","0.27","24","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Centennial 10yo","8.31","0.44","6","$","Rye-like","","","Canada","Blend"
"J.P. Wiser's Alumni Series Darryl Sitter 10yo","8.31","0.11","3","$$","Rye-like","","","Canada","Rye"
"Balvenie 12yo Triple Cask","8.30","0.44","12","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Benrinnes 15yo F&F","8.30","0.82","7","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Dalmore 15yo","8.30","0.47","21","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Jura 12yo Elixir","8.30","0.46","11","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Teeling Small Batch (Rum Cask Finish)","8.3","0.36","23","$$","SingleMalt-like","EF","E","Ireland","Blend"
"Amrut Indian Single Malt","8.30","0.83","18","$$$","SingleMalt-like","GH","G","India","Malt"
"Glen Scotia 14yo","8.30","0.16","5","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Hibiki Harmony Master's Select","8.30","0.64","7","$$$$$","SingleMalt-like","GH","G","Japan","Blend"
"Mackinlay's Shackleton Blended Malt","8.30","0.41","6","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Bulleit Rye","8.30","0.61","18","$$","Rye-like","","R4","USA","Rye"
"Canadian Rockies 17yo","8.30","0.53","4","$$$","Rye-like","","","Canada","Blend"
"Crown Royal Noble Collection Cornerstone Blend","8.30","0.71","5","$$$","Rye-like","","","Canada","Blend"
"J.P. Wiser's Double Still Rye","8.30","0.36","8","$","Rye-like","","","Canada","Blend"
"Stalk & Barrel Red Blend","8.3","0.42","5","$$","Rye-like","","","Canada","Blend"
"Dalmore Cigar Malt Reserve","8.29","0.65","13","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfiddich Malt Master's Edition","8.29","0.30","7","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Deveron 12yo","8.29","0.28","7","$$$","SingleMalt-like","EF","E","Scotland","Malt"
